,County,State,FIPS Code,Population,Area,Density
2993,Wayne County,West Virginia,54099,38498,506,76
1352,Morrison County,Minnesota,27097,33992,1124,30
2544,Camp County,Texas,48063,12616,198,64
971,Stanton County,Kansas,20187,2044,680,3
1088,Shelby County,Kentucky,21211,48461,384,126
903,Ellis County,Kansas,20051,28790,900,32
584,Washington County,Idaho,16087,10898,1456,7
2243,Butler County,Pennsylvania,42019,194273,795,244
3055,Sawyer County,Wisconsin,55113,18295,1257,15
991,Bourbon County,Kentucky,21017,20229,291,70
853,Plymouth County,Iowa,19149,25650,864,30
35,Jackson County,Alabama,01071,52773,1077,49
1847,Nassau County,New York,36059,3070,453,7
2151,Haskell County,Oklahoma,40061,11602,577,20
2621,Hill County,Texas,48217,36471,962,38
1651,Boyd County,Nebraska,31015,1789,540,3
175,Woodruff County,Arkansas,05147,6116,594,10
2028,Traill County,North Dakota,38097,8003,862,9
1960,Rutherford County,North Carolina,37161,64586,566,114
510,Telfair County,Georgia,13271,12414,441,28
3032,Langlade County,Wisconsin,55067,19502,870,22
2581,Edwards County,Texas,48137,1438,2120,1
1711,Perkins County,Nebraska,31135,2832,883,3
2036,Ashtabula County,Ohio,39007,97337,702,139
1247,Gogebic County,Michigan,26053,14361,1476,10
936,McPherson County,Kansas,20113,30146,900,33
3047,Polk County,Wisconsin,55095,45431,913,50
3082,Lincoln County,Wyoming,56023,20153,4069,5
2245,Cameron County,Pennsylvania,42023,4459,399,11
1353,Mower County,Minnesota,27099,40158,711,56
2024,Stark County,North Dakota,38089,33046,1338,25
2313,Berkeley County,South Carolina,45015,236701,1228,193
457,Jefferson County,Georgia,13163,15524,528,29
831,Jones County,Iowa,19105,20805,575,36
1284,Oceana County,Michigan,26127,26815,1307,21
282,Park County,Colorado,08093,17720,2209,8
946,Norton County,Kansas,20137,5342,878,6
2582,Ellis County,Texas,48139,202678,940,216
651,Monroe County,Illinois,17133,34932,385,91
2670,Marion County,Texas,48315,9645,381,25
2954,Gilmer County,West Virginia,54021,7377,340,22
2230,Wasco County,Oregon,41065,26726,2381,11
1654,Burt County,Nebraska,31021,6709,493,14
283,Phillips County,Colorado,08095,4512,688,7
2398,Mellette County,South Dakota,46095,1908,1307,1
959,Rooks County,Kansas,20163,4831,888,5
644,Mason County,Illinois,17125,12881,539,24
1725,Sherman County,Nebraska,31163,2964,566,5
1473,Adair County,Missouri,29001,25185,568,44
512,Thomas County,Georgia,13275,45842,548,84
2212,Jackson County,Oregon,41029,223734,2785,80
741,Morgan County,Indiana,18109,72206,404,179
935,Marshall County,Kansas,20117,9979,903,11
1544,New Madrid County,Missouri,29143,16035,678,24
1158,Union Parish,Louisiana,22111,21091,905,23
2424,Campbell County,Tennessee,47013,39578,480,82
233,Yolo County,California,06113,216986,1012,214
